,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,95,PF,1578359811,74,-23.12,-134.97,76.91,12.15
1,busselton,10,AU,1578359565,43,-33.64,115.35,80.01,1.99
2,karpogory,99,RU,1578359811,94,64.0,44.44,19.8,7.58
3,torbay,90,CA,1578359812,85,47.66,-52.73,26.01,10.29
4,virtsu,90,EE,1578359812,100,58.57,23.51,39.99,6.93
5,kapaa,75,US,1578359569,74,22.08,-159.32,80.6,17.22
6,padang,91,ID,1578359812,88,-0.92,100.36,69.21,4.97
7,yellowknife,75,CA,1578359563,74,62.45,-114.38,-22.0,8.05
8,saldanha,45,PT,1578359812,81,41.42,-6.55,36.88,2.71
9,chuy,33,UY,1578359566,76,-33.69,-53.46,68.11,5.97
10,mataura,84,NZ,1578359813,68,-46.19,168.86,57.0,10.0
11,new norfolk,20,LR,1578359813,94,6.65,-10.59,71.6,2.15
12,ushuaia,75,AR,1578359703,70,-54.81,-68.31,48.2,3.36
13,butaritari,100,KI,1578359813,78,3.07,172.79,84.74,19.75
14,kavieng,75,PG,1578359813,69,-2.57,150.8,84.72,2.89
15,qaanaaq,45,GL,1578359813,62,77.48,-69.36,-13.86,10.8
16,piacabucu,0,BR,1578359813,80,-10.41,-36.43,78.71,9.69
17,san pedro,9,ML,1578359707,19,13.3,-4.9,64.71,9.8
18,kavaratti,100,IN,1578359813,72,10.57,72.64,80.87,6.53
19,nioro,68,GM,1578359600,15,13.79,-15.05,66.96,10.02
20,camacha,20,PT,1578359570,72,33.08,-16.33,62.6,8.05
21,asyut,0,EG,1578359814,70,27.18,31.19,46.4,13.87
22,norman wells,1,US,1578359762,45,35.22,-97.44,48.99,11.41
23,srednekolymsk,24,RU,1578359814,99,67.46,153.71,-20.7,3.24
24,rocha,100,UY,1578359366,48,-34.48,-54.34,66.31,4.27
25,hilo,90,US,1578359562,57,19.71,-155.08,78.8,6.93
26,bethel,1,US,1578359565,75,60.79,-161.76,-14.8,10.29
